iter	Logloss
0	0.6151637365
1	0.5571192463
2	0.5099184739
3	0.4927597525
4	0.4822254053
5	0.4731867936
6	0.4694920064
7	0.4674516398
8	0.464909961
9	0.4624741898
10	0.4582447333
11	0.45653512
12	0.454601164
13	0.4506656322
14	0.4468000346
15	0.4450986726
16	0.4435384366
17	0.4420017468
18	0.4407502274
19	0.438738086
20	0.435751445
21	0.4336233337
22	0.431851484
23	0.4306211461
24	0.427689748
25	0.4264446685
26	0.4224872005
27	0.4208202018
28	0.4190894574
29	0.4172099645
30	0.4158488899
31	0.4143427397
32	0.4129237808
33	0.4114493526
34	0.4101993928
35	0.408786723
36	0.4066528006
37	0.4054065639
38	0.4045988748
39	0.4037789346
40	0.4027553301
41	0.4018868636
42	0.4010855893
43	0.3999736112
44	0.3990519394
45	0.3977411269
46	0.3968902195
47	0.3963314758
48	0.3956746231
49	0.3943574712
50	0.3930169492
51	0.3920329908
52	0.3912470618
53	0.3904203294
54	0.3892107705
55	0.3885532385
56	0.387273041
57	0.3866171191
58	0.386110499
59	0.385008055
60	0.38422761
61	0.3832455886
62	0.3824119635
63	0.3814779149
64	0.3805330492
65	0.3792983844
66	0.3784570614
67	0.3777520346
68	0.3769826583
69	0.3762341114
70	0.3758322416
71	0.3748482077
72	0.374501128
73	0.3737079288
74	0.3730872003
75	0.3723873305
76	0.370282866
77	0.3698446456
78	0.3690773824
79	0.3680008493
80	0.3671670732
81	0.36650612
82	0.3660965272
83	0.3653118057
84	0.3645206945
85	0.3638628103
86	0.3630348705
87	0.3617978913
88	0.3604417222
89	0.3599327123
90	0.3593219205
91	0.3582405071
92	0.3574241894
93	0.3568840864
94	0.3561232129
95	0.3555305084
96	0.3550408184
97	0.3544028328
98	0.3535230209
99	0.3527488398
100	0.3522806835
101	0.3517539636
102	0.3512643491
103	0.3510661436
104	0.3502908556
105	0.3497442624
106	0.3491964868
107	0.3484759889
108	0.3478404183
109	0.3472116902
110	0.3467897206
111	0.3461273083
112	0.3456798304
113	0.3449089447
114	0.3442553874
115	0.3438185254
116	0.3432017968
117	0.3426199346
118	0.3416052856
119	0.3411607258
120	0.3406935506
121	0.3399435697
122	0.3393518966
123	0.3385743697
124	0.3381439979
125	0.3376100331
126	0.3370269634
127	0.3364521449
128	0.3357911414
129	0.3352368504
130	0.3344296644
131	0.3338742916
132	0.3332534122
133	0.3324620242
134	0.3319690136
135	0.3314652362
136	0.3306292464
137	0.3301914787
138	0.3296313766
139	0.3293270876
140	0.3284404584
141	0.3279203294
142	0.3276000411
143	0.3271201368
144	0.3266620681
145	0.3260246108
146	0.3253634563
147	0.325044451
148	0.3245756909
149	0.3240247959
150	0.3235095976
151	0.3227623084
152	0.3223897707
153	0.3216447456
154	0.3214096612
155	0.3207706945
156	0.3203919683
157	0.3198943038
158	0.3191974025
159	0.3187905014
160	0.3178663644
161	0.3171724566
162	0.3167470658
163	0.3160948921
164	0.3154522526
165	0.3150766458
166	0.3146283377
167	0.3140878323
168	0.3137062383
169	0.3124608067
170	0.3120020085
171	0.3115884914
172	0.3110315338
173	0.3105254923
174	0.310188148
175	0.3094801276
176	0.3088377648
177	0.3085221555
178	0.3079755623
179	0.3073864551
180	0.306813951
181	0.3061389355
182	0.3057507003
183	0.3054856046
184	0.3050737478
185	0.304620811
186	0.3041605537
187	0.3036286265
188	0.3029367815
189	0.3023487309
190	0.3019815515
191	0.3015986243
192	0.301010146
193	0.3006129552
194	0.3000987883
195	0.2998599304
196	0.299527064
197	0.2990672847
198	0.2983965458
199	0.2979983739
200	0.2974873515
201	0.2968459195
202	0.2963115773
203	0.2957638268
204	0.2953001483
205	0.2948578274
206	0.2943673324
207	0.2939140685
208	0.2934997967
209	0.2931400132
210	0.2925910804
211	0.2922306177
212	0.2916967534
213	0.2913068831
214	0.2911183376
215	0.2907663274
216	0.2905802723
217	0.2903220694
218	0.2900095795
219	0.2896433056
220	0.2889771954
221	0.2884108043
222	0.2879858159
223	0.2876273405
224	0.2873227999
225	0.2867851623
226	0.28636357
227	0.2858680187
228	0.2854087676
229	0.2849444351
230	0.2845756456
231	0.2839016364
232	0.2836136737
233	0.2832147975
234	0.2828652022
235	0.2824889413
236	0.2820996245
237	0.2818914823
238	0.2814000314
239	0.280883852
240	0.2807964594
241	0.2804685991
242	0.2801786742
243	0.2798383615
244	0.2794357874
245	0.2791209076
246	0.2787684445
247	0.2783512294
248	0.2780407017
249	0.2776075627
250	0.2771707007
251	0.2767958486
252	0.2764048714
253	0.2758820759
254	0.2754709235
255	0.2749403296
256	0.2746931954
257	0.2742561572
258	0.2740278147
259	0.2735302005
260	0.2729253707
261	0.2724883577
262	0.2721092794
263	0.2717301508
264	0.2714506154
265	0.2709788115
266	0.2705708539
267	0.2701955741
268	0.269878229
269	0.2693365916
270	0.2689602553
271	0.2685608759
272	0.2684612826
273	0.2678774834
274	0.2673776052
275	0.2671285843
276	0.2667446508
277	0.2663734967
278	0.2658765114
279	0.2653559296
280	0.2649467897
281	0.264631608
282	0.2643241242
283	0.2638447985
284	0.2635424214
285	0.2631769525
286	0.2628414447
287	0.2624006834
288	0.2620963944
289	0.2617618677
290	0.2615076646
291	0.2612245319
292	0.2606174381
293	0.2600746182
294	0.2596655286
295	0.2592502254
296	0.2589884
297	0.2586235852
298	0.2583832683
299	0.2581387252
300	0.2577093345
301	0.2573314637
302	0.2570200052
303	0.2568401386
304	0.2565834702
305	0.2563008155
306	0.256024651
307	0.2557418202
308	0.2552920028
309	0.2550102537
310	0.2546075537
311	0.254237758
312	0.2538197128
313	0.253197651
314	0.2527632794
315	0.2523210591
316	0.2518332559
317	0.25164627
318	0.2512418595
319	0.2509935932
320	0.2507245983
321	0.2505179404
322	0.2502903777
323	0.2499216385
324	0.2496772715
325	0.2492449124
326	0.248999841
327	0.2484262803
328	0.248017241
329	0.24774002
330	0.2474115559
331	0.2470223145
332	0.2467226291
333	0.2464383392
334	0.246089725
335	0.2457006597
336	0.2454539531
337	0.2451428971
338	0.2448918385
339	0.244565563
340	0.2442346588
341	0.2439509726
342	0.2435071423
343	0.2431806153
344	0.2428745653
