iter	Passed	Remaining
0	141	48550
1	143	24615
2	145	16601
3	147	12581
4	149	10162
5	151	8560
6	153	7429
7	155	6571
8	158	5910
9	160	5364
10	161	4917
11	164	4557
12	166	4249
13	168	3982
14	170	3746
15	172	3548
16	174	3371
17	176	3215
18	178	3071
19	181	2949
20	183	2836
21	185	2730
22	187	2630
23	189	2540
24	192	2462
25	194	2391
26	197	2323
27	199	2258
28	201	2197
29	203	2136
30	205	2082
31	208	2035
32	210	1987
33	212	1941
34	214	1897
35	216	1857
36	218	1819
37	220	1783
38	223	1751
39	225	1719
40	227	1689
41	229	1658
42	232	1630
43	234	1601
44	236	1576
45	238	1552
46	241	1528
47	243	1505
48	245	1482
49	247	1462
50	249	1440
51	252	1424
52	255	1405
53	257	1387
54	259	1368
55	261	1351
56	264	1334
57	266	1316
58	268	1301
59	270	1285
60	272	1269
61	274	1254
62	276	1239
63	278	1224
64	280	1210
65	282	1196
66	285	1184
67	287	1170
68	289	1156
69	291	1143
70	293	1131
71	295	1120
72	297	1108
73	299	1097
74	301	1086
75	303	1074
76	305	1063
77	307	1052
78	309	1042
79	311	1032
80	313	1021
81	315	1011
82	317	1002
83	319	992
84	321	983
85	323	974
86	326	967
87	328	957
88	330	950
89	332	943
90	335	935
91	337	928
92	339	919
93	341	912
94	343	904
95	346	897
96	348	890
97	350	884
98	352	876
99	355	869
100	357	862
101	359	856
102	361	849
103	363	842
104	366	837
105	368	830
106	370	823
107	372	817
108	374	811
109	376	805
110	379	799
111	381	794
112	383	787
113	385	781
114	387	775
115	390	770
116	392	764
117	394	759
118	397	754
119	399	749
120	402	744
121	405	741
122	408	737
123	411	734
124	414	729
125	417	724
126	419	719
127	421	714
128	424	710
129	427	707
130	430	703
131	433	698
132	435	694
133	438	689
134	441	686
135	443	681
136	446	677
137	448	672
138	450	668
139	453	664
140	456	660
141	459	656
142	461	652
143	463	647
144	466	643
145	469	640
146	472	636
147	475	632
148	478	629
149	480	625
150	483	620
151	485	616
152	488	612
153	492	610
154	496	608
155	498	604
156	500	599
157	503	595
158	505	591
159	507	586
160	510	583
161	513	579
162	515	576
163	518	572
164	522	569
165	525	566
166	528	562
167	530	558
168	532	554
169	534	550
170	538	547
171	540	543
172	543	539
173	545	536
174	548	533
175	552	530
176	555	527
177	558	524
178	560	520
179	562	515
180	564	511
181	566	507
182	569	504
183	571	500
184	574	496
185	576	492
186	578	488
187	581	485
188	584	482
189	587	479
190	590	475
191	592	472
192	594	468
193	597	465
194	601	462
195	603	458
196	606	455
197	608	451
198	611	448
199	613	444
200	615	440
201	617	437
202	619	433
203	621	429
204	623	426
205	626	422
206	628	418
207	630	414
208	632	411
209	634	407
210	636	404
211	638	400
212	640	397
213	643	393
214	645	390
215	647	386
216	650	383
217	653	380
218	655	377
219	659	374
220	662	371
221	665	368
222	668	365
223	671	362
224	675	360
225	677	356
226	680	353
227	683	350
228	685	347
229	687	343
230	690	340
231	693	337
232	695	334
233	698	331
234	700	327
235	703	324
236	705	321
237	708	318
238	710	315
239	713	311
240	715	308
241	717	305
242	720	302
243	722	299
244	725	295
245	727	292
246	729	289
247	731	286
248	733	282
249	735	279
250	739	276
251	741	273
252	743	270
253	745	267
254	747	263
255	750	260
256	752	257
257	754	254
258	757	251
259	759	248
260	761	245
261	763	241
262	765	238
263	767	235
264	769	232
265	771	229
266	773	226
267	775	222
268	777	219
269	779	216
270	782	213
271	784	210
272	786	207
273	788	204
274	790	201
275	793	198
276	795	195
277	798	192
278	800	189
279	802	186
280	804	183
281	806	180
282	808	177
283	811	174
284	813	171
285	815	168
286	817	165
287	819	162
288	821	159
289	824	156
290	826	153
291	828	150
292	831	147
293	833	144
294	836	141
295	838	138
296	840	135
297	842	132
298	845	130
299	847	127
300	849	124
301	851	121
302	854	118
303	856	115
304	859	112
305	861	109
306	863	106
307	866	104
308	868	101
309	870	98
310	873	95
311	875	92
312	878	89
313	880	86
314	882	84
315	884	81
316	887	78
317	889	75
318	892	72
319	894	69
320	896	67
321	898	64
322	900	61
323	902	58
324	905	55
325	907	52
326	909	50
327	912	47
328	914	44
329	916	41
330	919	38
331	921	36
332	924	33
333	926	30
334	928	27
335	929	24
336	932	22
337	934	19
338	936	16
339	938	13
340	940	11
341	943	8
342	945	5
343	947	2
344	949	0
