iter	Passed	Remaining
0	2	885
1	5	972
2	8	954
3	10	905
4	13	904
5	15	875
6	18	870
7	20	849
8	22	857
9	25	843
10	27	847
11	30	856
12	33	851
13	35	843
14	37	832
15	40	829
16	42	828
17	45	827
18	47	818
19	49	812
20	52	809
21	54	805
22	57	799
23	59	791
24	61	791
25	64	789
26	66	788
27	69	785
28	71	783
29	74	781
30	76	778
31	79	776
32	81	772
33	84	769
34	86	764
35	88	761
36	91	759
37	93	756
38	96	754
39	98	751
40	101	749
41	103	745
42	106	744
43	108	740
44	110	739
45	113	737
46	115	734
47	118	731
48	120	727
49	123	726
50	125	722
51	127	720
52	130	716
53	132	713
54	134	709
55	136	706
56	139	703
57	141	699
58	143	696
59	146	695
60	148	690
61	150	689
62	152	684
63	155	681
64	157	677
65	159	673
66	161	671
67	163	667
68	165	663
69	167	659
70	170	657
71	172	654
72	175	652
73	177	649
74	179	647
75	181	642
76	183	638
77	185	636
78	188	634
79	190	629
80	192	626
81	194	622
82	196	619
83	198	617
84	200	614
85	203	612
86	205	610
87	207	607
88	210	605
89	213	603
90	215	601
91	218	599
92	219	595
93	222	593
94	224	591
95	227	588
96	229	586
97	231	584
98	234	581
99	236	579
100	238	575
101	240	573
102	242	569
103	245	567
104	247	565
105	249	562
106	251	560
107	253	557
108	256	555
109	258	552
110	260	549
111	263	547
112	265	544
113	267	542
114	269	538
115	271	536
116	273	533
117	275	530
118	277	527
119	279	524
120	282	522
121	284	520
122	286	517
123	288	514
124	290	511
125	293	509
126	295	506
127	297	503
128	299	501
129	301	498
130	303	495
131	305	493
132	308	491
133	310	488
134	312	486
135	314	483
136	317	481
137	319	478
138	321	476
139	324	474
140	327	473
141	329	471
142	332	469
143	334	467
144	337	465
145	339	463
146	342	460
147	344	458
148	346	455
149	348	452
150	350	449
151	351	446
152	354	444
153	356	441
154	358	439
155	360	437
156	362	434
157	364	431
158	366	429
159	368	426
160	370	423
161	372	421
162	375	418
163	377	416
164	379	413
165	381	411
166	383	408
167	385	406
168	387	403
169	389	401
170	391	398
171	393	396
172	395	393
173	398	391
174	400	389
175	402	386
176	404	384
177	407	382
178	409	379
179	411	377
180	413	374
181	415	372
182	417	369
183	420	367
184	423	366
185	425	363
186	428	361
187	430	359
188	432	357
189	435	355
190	437	353
191	439	350
192	442	348
193	444	346
194	447	344
195	449	342
196	452	339
197	454	337
198	456	335
199	458	332
200	461	330
201	463	327
202	465	325
203	467	323
204	469	320
205	471	318
206	473	315
207	475	313
208	477	311
209	479	308
210	482	306
211	484	303
212	486	301
213	488	299
214	491	296
215	493	294
216	495	292
217	498	290
218	500	288
219	503	285
220	505	283
221	507	281
222	509	278
223	512	276
224	514	274
225	517	272
226	519	269
227	521	267
228	523	265
229	525	262
230	527	260
231	530	258
232	533	256
233	535	253
234	537	251
235	540	249
236	542	247
237	544	245
238	547	242
239	549	240
240	551	238
241	560	238
242	562	236
243	565	233
244	567	231
245	569	229
246	571	226
247	573	224
248	576	222
249	578	219
250	580	217
251	582	214
252	584	212
253	586	210
254	588	207
255	591	205
256	593	203
257	595	200
258	597	198
259	599	196
260	602	193
261	604	191
262	606	188
263	608	186
264	610	184
265	612	181
266	614	179
267	616	177
268	617	174
269	619	172
270	621	169
271	624	167
272	626	165
273	627	162
274	629	160
275	631	157
276	633	155
277	636	153
278	638	151
279	640	148
280	642	146
281	644	143
282	646	141
283	648	139
284	650	137
285	652	134
286	655	132
287	657	130
288	659	127
289	661	125
290	663	123
291	665	120
292	667	118
293	669	116
294	671	113
295	673	111
296	676	109
297	678	107
298	680	104
299	683	102
300	685	100
301	687	97
302	690	95
303	692	93
304	694	91
305	696	88
306	698	86
307	701	84
308	704	82
309	707	79
310	709	77
311	711	75
312	714	73
313	716	70
314	718	68
315	720	66
316	723	63
317	725	61
318	727	59
319	730	57
320	732	54
321	734	52
322	736	50
323	738	47
324	741	45
325	743	43
326	745	41
327	747	38
328	750	36
329	752	34
330	754	31
331	756	29
332	759	27
333	761	25
334	763	22
335	765	20
336	767	18
337	769	15
338	771	13
339	773	11
340	775	9
341	777	6
342	779	4
343	781	2
344	784	0
